Sales Report 2015
Order ID;Order Date;Shipping Date;Ship Mode;Customer ID;Product ID;Quantity;Purchasing Price;Planned Sales Price;Discount
US-2015-108966;11/10/2015;18/10/2015;Standard Class;SO-20335;FUR-TA-10000577;5;478.78874999999999;957.57749999999999;0.070000000000000007
US-2015-108966;11/10/2015;18/10/2015;Standard Class;SO-20335;OFF-ST-10000760;2;11.184000000000001;22.368000000000002;0.09
US-2015-118983;22/11/2015;26/11/2015;Standard Class;HP-14815;OFF-AP-10002311;5;34.404999999999994;68.809999999999988;0
US-2015-118983;22/11/2015;26/11/2015;Standard Class;HP-14815;OFF-BI-10000756;3;1.6535999999999997;2.5439999999999996;0
CA-2015-106320;25/9/2015;30/9/2015;Standard Class;EB-13870;FUR-TA-10000577;3;522.31499999999994;1044.6299999999999;0.04
US-2015-150630;17/9/2015;21/9/2015;Standard Class;TB-21520;FUR-BO-10004834;7;2158.4009999999998;3083.4300000000003;0.25
US-2015-150630;17/9/2015;21/9/2015;Standard Class;TB-21520;OFF-BI-10000474;2;6.7326000000000015;9.6180000000000021;0.1
US-2015-150630;17/9/2015;21/9/2015;Standard Class;TB-21520;FUR-FU-10004848;3;80.730000000000018;124.20000000000002;0.05
US-2015-150630;17/9/2015;21/9/2015;Standard Class;TB-21520;OFF-EN-10001509;2;1.9584000000000001;3.2640000000000002;0.1
US-2015-150630;17/9/2015;21/9/2015;Standard Class;TB-21520;OFF-AR-10004042;6;47.467200000000005;86.304000000000002;0.1
US-2015-150630;17/9/2015;21/9/2015;Standard Class;TB-21520;OFF-BI-10001525;6;4.1148000000000007;6.8580000000000014;0.15
US-2015-150630;17/9/2015;21/9/2015;Standard Class;TB-21520;OFF-AR-10001683;2;7.88;15.76;0.1
CA-2015-117415;27/12/2015;31/12/2015;Standard Class;SN-20710;OFF-EN-10002986;9;79.329599999999999;113.328;0
CA-2015-117415;27/12/2015;31/12/2015;Standard Class;SN-20710;FUR-CH-10004218;3;137.83770000000001;212.05799999999999;0
CA-2015-117415;27/12/2015;31/12/2015;Standard Class;SN-20710;TEC-PH-10000486;4;222.70079999999999;371.16800000000001;0
CA-2015-115742;18/4/2015;22/4/2015;Standard Class;DP-13000;OFF-BI-10004410;6;24.843;38.22;0
CA-2015-115742;18/4/2015;22/4/2015;Standard Class;DP-13000;OFF-LA-10002762;6;45.107999999999997;75.179999999999993;0
CA-2015-115742;18/4/2015;22/4/2015;Standard Class;DP-13000;FUR-FU-10001706;2;3.3880000000000003;6.16;0
CA-2015-115742;18/4/2015;22/4/2015;Standard Class;DP-13000;FUR-CH-10003061;1;53.993999999999993;89.99;0
CA-2015-135545;24/11/2015;30/11/2015;Standard Class;KM-16720;TEC-AC-10004633;2;8.3879999999999999;13.98;0
CA-2015-135545;24/11/2015;30/11/2015;Standard Class;KM-16720;OFF-BI-10001078;6;12.912000000000001;25.824000000000002;0
